name,measure,details
Common Lisp, Abandon Type (selective rescue), Abandon instances: 'Common Lisp Interface Manager' 'CLX (Common Lisp)' 'UnCommon Web' 'Weblocks' 'McCLIM' 'Format (Common Lisp)' 'Common Lisp Object System';Abandon subtypes:'Common Lisp software''Common Lisp implementations''Common Lisp publications'
Delphi (programming language),Abandon Type (selective rescue), Abandon instances: 'FastCode' 'Project Jedi';Abandon subtypes:'Free software programmed in Delphi'
Denotational semantics, Abandon Type (rescue none),
DocBook, Abandon Type (selective rescue), Abandon instances: 'PhD Docbook renderer';Abandon subtypes:
Domain theory, Abandon Type (rescue none),
Dylan (programming language), Abandon Type (selective rescue), Abandon instances: 'Hygienic macro' 'Harlequin (software company)' 'History of the Dylan programming language' 'Apple Dylan';Abandon subtypes:
Eclipse (software), Abandon Type (rescue none),
Erlang (programming language), Abandon Type (selective rescue),Abandon instances: 'Open Telecom Platform' 'Hibari (database)' 'Mnesia' 'Ejabberd' 'Bitcask' 'CEAN' 'CouchDB' 'Tsung' 'Yaws (web server)' 'Wings 3D' 'RabbitMQ' 'LYME (software bundle)';Abandon subtypes:'Free software programmed in Erlang'
FLTK, Abandon Type (rescue none),
Fortran, Abandon Type (selective rescue), Abandon instances: 'Photran' 'Fortran 95 language features' 'OpenHMPP' 'Lois Haibt' 'OpenMP' 'David Sayre' 'Hollerith constant' 'Roy Nutt' 'John Backus' 'OpenACC' 'Paul H. Cress';Abandon subtypes:'Fortran compilers''Fortran software'
Free Pascal, Abandon Type (selective rescue), Abandon instances: 'Dev-Pascal' 'Megido (Free Pascal)' 'Lazarus (IDE)' 'Free Component Library' 'FpGUI' 'GLScene' 'Internet Direct' 'Widgetset' 'Lazarus Component Library' 'TAChart' 'XPower++' 'FCL-Web' 'Free Pascal Runtime Library';Abandon subtypes:
Freedesktop.org, Abandon Type (rescue none),
GIS file formats, no issue,
GNOME, Abandon Type (rescue none),
GNOME Core Applications, Abandon Type (rescue none),
GNOME Games, Abandon Type (rescue none),
GNU GRUB, Abandon Type (rescue none),
Google Chrome, Abandon Type (rescue none),
