name,measure,details
Unified Modeling Language, Abandon Type (selective rescue), Abandon instances: 'Meta-Object Facility' 'Telelogic' 'Use case' 'Object Management Group' 'Powertype (UML)' 'Enterprise Distributed Object Computing' 'Modeling and Analysis of Real Time and Embedded systems' 'Object Modeling in Color' 'UML Partners' 'Glossary of Unified Modeling Language terms' 'Package (UML)' 'Model-driven integration' 'Model-driven engineering' 'Object composition' 'Event (UML)' 'Component (UML)' 'ObjecTime Developer' 'Software analysis pattern' 'Object-modeling technique' 'Philippe Kruchten' 'Model-based systems engineering' 'Element (UML)' 'Actor (UML)' 'James Rumbaugh' 'Reich Technologies' 'Action (UML)' 'Meta-process modeling' 'Object-oriented software engineering' 'Metadata modeling' 'Dependency (UML)' 'Node (UML)' 'Role Class Model' 'Semantics of Business Vocabulary and Business Rules' 'Model transformation' 'Artifact (UML)' 'Stereotype (UML)' 'Profile (UML)' 'Applications of UML' 'Modeling Maturity Levels' 'Ivar Jacobson' 'Visual modeling' 'Swim lane' 'David Harel' 'UML tool' 'Pathway Systems' 'Model-driven architecture' 'UPDM' 'Activity (UML)' 'Classifier (UML)' 'VIATRA' 'SysML Partners';Abandon subtypes:'UML tools''Unified Modeling Language stubs';Remove instances:;
Vala (programming language), Abandon Type (selective rescue), Abandon instances:;Abandon subtypes:'Vala software';Remove instances:;
Web Ontology Language, Abandon Type (selective rescue), 
Web colors, already removed,
WxWidgets, Abandon Type (rescue none),
XHTML, Abandon Type (selective rescue), Abandon instances: 'XHTML Modularization' 'XHTML Mobile Profile';Abandon subtypes:;Remove instances:;
XML, Abandon Type (selective rescue), Abandon instances: 'CDuce' 'XML validation' 'QName' 'MAREC' 'PCDATA' 'Tag omission' 'XML data binding' 'XML denial-of-service attack' 'Clusterpoint' 'DITA Open Toolkit' 'Quark Author' 'XML retrieval' 'Unique Particle Attribution' 'Zorba (XQuery processor)' 'XML Enabled Directory' 'FuseDocs (programming)' 'Root element' 'Well-formed document' 'XML Schema Editor' 'Adobe FrameMaker' 'XML namespace' 'OpenSearch' 'Streaming XML' 'XML Events' 'XML appliance' 'XML Encryption' 'SpeakRight Framework' 'EXtensible Text Framework' 'VTD-XML' 'FLWOR' 'XFDesigner' 'CDATA' 'XML Literals' 'Valid characters in XML' 'XML Base' 'XBRLS' 'Billion laughs' 'OIOXML' 'XML Certification Program' 'Internationalization Tag Set' 'XML editor' 'XML framework' 'Component content management system' 'Processing Instruction' 'Quark XML Author' 'Dynamic XML' 'Publishing Requirements for Industry Standard Metadata' 'XEP (software)' 'BaseX' 'XML database' 'ECMAScript for XML' 'Head–body pattern' 'Legal XML' 'XML tree';Abandon subtypes:'XML software''XML editors''XML parsers''XQuery processors''XML organizations''XSLT processors''Java API for XML''XML data access''XML technology people';Remove instances:;
XTalk, no issue,
Z notation, Abandon Type (selective rescue), Abandon instances: 'Zermelo–Fraenkel set theory' 'Set comprehension' 'Community Z Tools' 'Test Template Framework' 'Z User Meeting' 'CICS' 'Jean-Raymond Abrial' 'Fastest' 'Mondex' 'Z User Group' 'General set theory' 'Michael Spivey' 'S (set theory)' 'Ib Holm Sørensen';Abandon subtypes:;Remove instances:;
Zope, Abandon Type (rescue none)
